algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
fuerza_bruta,peor,9,0.2484997999985353,0.2400341999964439,0.037409148164541675,0.2043506999980309,0.3005301000011968,712800,0.596875
fuerza_bruta,peor,10,1.7966531800004304,1.811090700000932,0.09102176487621828,1.6828223999982583,1.909726199999568,7568640,1.1609375
fuerza_bruta,promedio,4,1.044000091496855e-05,1.1399999493733048e-05,3.2585279491187954e-06,4.699999408330768e-06,1.2700002116616815e-05,34,0.30625
fuerza_bruta,promedio,5,1.8940000154543667e-05,5.399997462518513e-06,1.9689796700264433e-05,3.7999998312443495e-06,4.060000355821103e-05,148,0.35
fuerza_bruta,promedio,6,0.00017648000211918847,9.99000039882958e-05,0.0001818625470938593,5.200003215577453e-06,0.0004255999956512,11,0.365625
fuerza_bruta,promedio,7,0.0002110999979776988,9.929999941959976e-05,0.000240793281975209,1.8799997633323077e-05,0.0006118999954196,54,0.421875
fuerza_bruta,promedio,8,0.0008670600000186331,0.0005937999958405,0.000975050132256243,2.300000051036477e-05,0.0024762999964877,93,0.4375
fuerza_bruta,promedio,9,0.008198839999386087,0.0014347999967867,0.01040102483794235,7.650000043213367e-05,0.0205117000004975,368,1.0744140625
fuerza_bruta,promedio,10,0.04336885999800866,0.0281837999937124,0.03980340514069488,0.0001312000022153,0.093037099999492,738,0.5
fuerza_bruta,promedio,11,0.17395091999933351,0.1478905999974813,0.12083809566660211,0.0480791999943903,0.3407363000005716,162896,0.7
monte_carlo,mejor,4,2.1800000104121865e-05,1.750000228639692e-05,8.679860551695305e-06,1.6800004232209176e-05,3.709999873535708e-05,9,3.2890625
monte_carlo,mejor,5,2.2640000679530203e-05,1.7600003047846258e-05,9.936447842870943e-06,1.7099999240599573e-05,4.020000051241368e-05,16,3.703125
monte_carlo,mejor,6,2.508000034140423e-05,2.200000017182901e-05,7.301848625239593e-06,2.119999408023432e-05,3.809999907389283e-05,25,3.8046875
monte_carlo,mejor,7,2.7899998531211168e-05,2.390000008745119e-05,6.1947541265901475e-06,2.3399996280204505e-05,3.68999972124584e-05,36,3.8203125
monte_carlo,mejor,8,2.565999748185277e-05,2.609999501146376e-05,8.414263292082083e-07,2.439999661874026e-05,2.639999729581177e-05,49,3.8203125
monte_carlo,mejor,9,2.846000134013593e-05,2.859999949578196e-05,1.073778725607523e-06,2.6699999580159783e-05,2.9499999072868377e-05,64,3.8671875
monte_carlo,mejor,10,3.15999990561977e-05,2.7999994927085936e-05,9.25337458418025e-06,2.4900000425986946e-05,4.7799992898944765e-05,81,3.8984375
monte_carlo,mejor,11,3.0100000731181354e-05,3.01000036415644e-05,5.070995902116425e-06,2.5699999241624027e-05,3.819999983534217e-05,100,3.9140625
monte_carlo,mejor,12,3.0179998429957777e-05,2.9599999834317717e-05,3.3439504289777986e-06,2.609999501146376e-05,3.499999729683623e-05,121,3.9140625
monte_carlo,mejor,13,3.0240000342018902e-05,3.070000093430281e-05,1.5820882612289195e-06,2.7499998395796865e-05,3.1600000511389226e-05,144,3.9921875
monte_carlo,mejor,14,3.1699996907264e-05,3.060000017285347e-05,2.3108419974379924e-06,2.939999831141904e-05,3.4699995012488216e-05,169,4.0546875
monte_carlo,mejor,15,6.23999992967444e-05,3.399999695830047e-05,6.019422576367912e-05,3.190000279573724e-05,0.000169699997059,196,4.0703125
monte_carlo,mejor,16,3.8100000529084356e-05,3.3700001949910074e-05,8.832042929636708e-06,3.260000084992498e-05,5.34999999217689e-05,225,4.0703125
monte_carlo,mejor,17,3.513999981805682e-05,3.499999729683623e-05,1.1148970809259213e-06,3.380000271135941e-05,3.68999972124584e-05,256,4.0859375
monte_carlo,mejor,18,4.9860002764035014e-05,4.960000660503283e-05,2.545193015399191e-06,4.7599998652003706e-05,5.4100004490464926e-05,289,4.1484375
monte_carlo,mejor,19,6.618000188609585e-05,6.380000559147447e-05,6.7599557806588084e-06,5.950000195298344e-05,7.429999823216349e-05,324,5.9375
monte_carlo,mejor,20,4.594000056385994e-05,4.2599996959324926e-05,7.868484312934476e-06,4.189999890513718e-05,6.000000576023013e-05,361,5.9375
monte_carlo,mejor,21,4.321999876992777e-05,4.310000076657161e-05,5.630261315055223e-07,4.269999772077426e-05,4.409999382914975e-05,400,5.953125
monte_carlo,mejor,22,4.728000203613192e-05,4.67000063508749e-05,2.7197391200703397e-06,4.53000029665418e-05,5.199999577598646e-05,441,5.953125
monte_carlo,mejor,23,6.809999758843333e-05,5.8999998145736754e-05,2.3522650851787347e-05,4.709999484475702e-05,9.729999874252826e-05,484,6.0
monte_carlo,mejor,24,5.0880000344477594e-05,5.090000195195898e-05,1.5023302234511834e-06,4.920000355923548e-05,5.270000110613182e-05,529,6.0
monte_carlo,mejor,25,7.477999897673727e-05,7.439999899361283e-05,1.5258013538452008e-05,5.8099998568650335e-05,9.159999899566174e-05,576,6.015625
monte_carlo,mejor,26,5.624000041279942e-05,5.560000136028975e-05,2.5559701989137993e-06,5.390000296756625e-05,6.049999501556158e-05,625,6.015625
monte_carlo,peor,4,0.004425540000374839,0.0045680999974138,0.00041539200972373603,0.0038240000067162,0.0048491999987163,9507,3.34375
monte_carlo,peor,5,0.00508289999852418,0.0052063999974052,0.000559638645278391,0.0041415000014239,0.005645999997796,11588,3.515234375
monte_carlo,peor,6,0.00700717999861806,0.007087700003467,0.00030373978226453014,0.0065268000034848,0.0073274999958812,26636,3.859375
monte_carlo,peor,7,0.00688229999941536,0.0066130999985034,0.00060023357450806,0.0064017999975476,0.0078647999980603,30842,3.875
monte_carlo,peor,8,0.01040992000198452,0.0106749999977182,0.00064425624542854,0.0096250000060535,0.0109685999996145,51630,3.875
monte_carlo,peor,9,0.01267397999909004,0.0133217999973567,0.0015416206799056117,0.0103739000041969,0.0141826999970362,57945,3.890625
monte_carlo,peor,10,0.01564359999902076,0.015206299998681,0.0020148667627458384,0.0138998999973409,0.0190427000052295,84780,3.8984375
monte_carlo,peor,11,0.0176014400014537,0.0160749000060604,0.0029252686549450565,0.0148157000003266,0.021913399999903,93116,3.9140625
monte_carlo,peor,12,0.02883086000074398,0.0286978000003728,0.001337282734932003,0.0270664999989094,0.0308244000043487,125840,4.0640625
monte_carlo,peor,13,0.03046719999838382,0.026591499998176,0.007895781792096747,0.024158799998986,0.0438446999978623,136250,3.9609375
